************************************************************************************************************
Task  0
************************************************************************************************************
0.1
| Epoch 122, time= 40.5s | Train: skip eval | Valid: time=  3.1s loss=0.878, TAw acc= 80.0% |
| Epoch 123, time= 40.3s | Train: skip eval | Valid: time=  2.9s loss=0.878, TAw acc= 80.1% |
| Epoch 124, time= 40.3s | Train: skip eval | Valid: time=  3.0s loss=0.885, TAw acc= 80.0% |
| Epoch 125, time= 40.4s | Train: skip eval | Valid: time=  3.1s loss=0.872, TAw acc= 80.5% |
| Epoch 126, time= 40.5s | Train: skip eval | Valid: time=  2.9s loss=0.873, TAw acc= 80.3% |
| Epoch 127, time= 40.5s | Train: skip eval | Valid: time=  3.0s loss=0.878, TAw acc= 80.5% |
| Epoch 128, time= 40.2s | Train: skip eval | Valid: time=  2.7s loss=0.880, TAw acc= 80.4% |
| Epoch 129, time= 40.6s | Train: skip eval | Valid: time=  3.1s loss=0.883, TAw acc= 80.4% |
| Epoch 130, time= 40.3s | Train: skip eval | Valid: time=  3.0s loss=0.888, TAw acc= 80.8% |
| Epoch 131, time= 40.6s | Train: skip eval | Valid: time=  3.0s loss=0.890, TAw acc= 80.6% |
| Epoch 132, time= 40.5s | Train: skip eval | Valid: time=  3.0s loss=0.891, TAw acc= 80.6% |
| Epoch 133, time= 40.2s | Train: skip eval | Valid: time=  2.8s loss=0.885, TAw acc= 80.5% |
| Epoch 134, time= 40.6s | Train: skip eval | Valid: time=  3.0s loss=0.891, TAw acc= 80.4% |
| Epoch 135, time= 40.5s | Train: skip eval | Valid: time=  2.9s loss=0.889, TAw acc= 80.5% |
| Epoch 136, time= 40.6s | Train: skip eval | Valid: time=  3.1s loss=0.892, TAw acc= 80.7% |
| Epoch 137, time= 40.5s | Train: skip eval | Valid: time=  3.0s loss=0.890, TAw acc= 80.5% |
| Epoch 138, time= 40.4s | Train: skip eval | Valid: time=  3.0s loss=0.894, TAw acc= 80.5% |
| Epoch 139, time= 40.4s | Train: skip eval | Valid: time=  2.8s loss=0.899, TAw acc= 80.7% |
| Epoch 140, time= 40.4s | Train: skip eval | Valid: time=  2.8s loss=0.896, TAw acc= 80.7% |
| Epoch 141, time= 40.2s | Train: skip eval | Valid: time=  3.0s loss=0.894, TAw acc= 80.4% |
| Epoch 142, time= 40.4s | Train: skip eval | Valid: time=  2.9s loss=0.897, TAw acc= 80.4% |
| Epoch 143, time= 40.5s | Train: skip eval | Valid: time=  2.9s loss=0.905, TAw acc= 80.5% |
| Epoch 144, time= 40.2s | Train: skip eval | Valid: time=  2.8s loss=0.899, TAw acc= 80.7% |
| Epoch 145, time= 40.3s | Train: skip eval | Valid: time=  2.9s loss=0.908, TAw acc= 80.5% |
| Epoch 146, time= 40.4s | Train: skip eval | Valid: time=  3.0s loss=0.909, TAw acc= 80.5% |
| Epoch 147, time= 40.2s | Train: skip eval | Valid: time=  3.0s loss=0.910, TAw acc= 80.7% |
| Epoch 148, time= 40.4s | Train: skip eval | Valid: time=  2.8s loss=0.912, TAw acc= 80.5% |
| Epoch 149, time= 40.4s | Train: skip eval | Valid: time=  2.9s loss=0.910, TAw acc= 80.6% |
| Epoch 150, time= 40.4s | Train: skip eval | Valid: time=  3.0s loss=0.921, TAw acc= 80.5% |
| Epoch 151, time= 40.5s | Train: skip eval | Valid: time=  3.0s loss=0.909, TAw acc= 80.5% |
| Epoch 152, time= 40.3s | Train: skip eval | Valid: time=  2.8s loss=0.909, TAw acc= 80.8% |
| Epoch 153, time= 40.3s | Train: skip eval | Valid: time=  2.8s loss=0.918, TAw acc= 80.5% |
| Epoch 154, time= 40.6s | Train: skip eval | Valid: time=  2.9s loss=0.908, TAw acc= 80.9% |
| Epoch 155, time= 40.2s | Train: skip eval | Valid: time=  3.0s loss=0.917, TAw acc= 80.6% |
| Epoch 156, time= 40.4s | Train: skip eval | Valid: time=  2.8s loss=0.911, TAw acc= 80.8% |
| Epoch 157, time= 40.5s | Train: skip eval | Valid: time=  2.6s loss=0.923, TAw acc= 80.4% |
| Epoch 158, time= 40.2s | Train: skip eval | Valid: time=  2.8s loss=0.917, TAw acc= 80.7% |
| Epoch 159, time= 40.4s | Train: skip eval | Valid: time=  3.0s loss=0.913, TAw acc= 80.6% |
| Epoch 160, time= 40.3s | Train: skip eval | Valid: time=  3.0s loss=0.915, TAw acc= 80.7% |
| Selected 1000 train exemplars, time= 24.5s
>>> Test on task  0 : loss=0.915 | TAw acc= 80.7%, forg=  0.0%| TAg acc= 80.7%, forg=  0.0% <<<
Save at /cache/results/cifar100_icarl_lucir_wo_reservoir_nc_first_50_ntask_6
************************************************************************************************************
Task  1
************************************************************************************************************
lambda value after adaptation:  11.180339887498949
0.1
| Epoch   1, time= 15.5s | Train: skip eval | Valid: time=  1.6s loss=4.971, TAw acc= 18.7% |
| Epoch   2, time= 15.5s | Train: skip eval | Valid: time=  1.6s loss=1.463, TAw acc= 61.5% |
| Epoch   3, time= 15.2s | Train: skip eval | Valid: time=  1.6s loss=1.272, TAw acc= 70.9% |
| Epoch   4, time= 15.6s | Train: skip eval | Valid: time=  1.7s loss=1.489, TAw acc= 65.1% |
